Producto,Categoría,Cantidad,Precio Total,Fecha
"Agua Cristal 600ml","Bebidas",15,256900.00,"2026-03-02 16:26:00"
"Cerveza Poker 330ml","Bebidas",13,256900.00,"2026-03-02 16:26:00"
"Aguardiante Antioqueno 375ml","Bebidas",1,256900.00,"2026-03-02 16:26:00"
"Coca-Cola 350ml","Bebidas",5,354500.00,"2026-03-01 22:59:00"
"Gaseosa Postobon Manzana 350ml","Bebidas",13,354500.00,"2026-03-01 22:59:00"
"Jugo Hit Naranja 1L","Bebidas",9,354500.00,"2026-03-01 22:59:00"
"Agua Cristal 600ml","Bebidas",16,354500.00,"2026-03-01 22:59:00"
"Cerveza Poker 330ml","Bebidas",22,354500.00,"2026-03-01 22:59:00"
"Detergente Fab 1Kg","Aseo",4,354500.00,"2026-03-01 22:59:00"
"Papel Higienico Familia x4","Aseo",5,354500.00,"2026-03-01 22:59:00"
"Cepillo de Dientes Colgate","Aseo",4,354500.00,"2026-03-01 22:59:00"
"Atun Van Camps 160g","Enlatados",7,354500.00,"2026-03-01 22:59:00"
"Sardina Isabel 170g","Enlatados",7,354500.00,"2026-03-01 22:59:00"
"Frijoles enlatados Zenú 300g","Enlatados",2,354500.00,"2026-03-01 22:59:00"
"Salchicha Ranchera x5","Enlatados",4,354500.00,"2026-03-01 22:59:00"
"Arroz Diana 1Kg","Granos y cereales",18,792700.00,"2026-03-01 19:26:00"
"Arroz Roa 5Kg","Granos y cereales",13,792700.00,"2026-03-01 19:26:00"
"Lentejas 500g","Granos y cereales",16,792700.00,"2026-03-01 19:26:00"
"Frijol rojo 500g","Granos y cereales",22,792700.00,"2026-03-01 19:26:00"
"Avena Quaker 400g","Granos y cereales",4,792700.00,"2026-03-01 19:26:00"
"Pasta Doria Espagueti 250g","Granos y cereales",9,792700.00,"2026-03-01 19:26:00"
"Harina de Trigo 1Kg","Granos y cereales",2,792700.00,"2026-03-01 19:26:00"
"Leche Alqueria Entera 1L","Lacteos",7,792700.00,"2026-03-01 19:26:00"
"Leche Colanta Deslactosada 1L","Lacteos",20,792700.00,"2026-03-01 19:26:00"
"Yogurt Alpina 1L","Lacteos",18,792700.00,"2026-03-01 19:26:00"
"Queso Campesino 500g","Lacteos",2,792700.00,"2026-03-01 19:26:00"
"Mantequilla 250g","Lacteos",2,792700.00,"2026-03-01 19:26:00"
"Papas Margarita Natural 30g","Snacks",11,630400.00,"2026-03-01 12:17:00"
"Galletas Festival Chocolate","Snacks",7,630400.00,"2026-03-01 12:17:00"
"Chocolate Jet 50g","Snacks",9,630400.00,"2026-03-01 12:17:00"
"Chocoramo","Snacks",20,630400.00,"2026-03-01 12:17:00"
"Aceite Girasol 1L","Basicos hogar",5,630400.00,"2026-03-01 12:17:00"
"Azucar Manuelita 1Kg","Basicos hogar",11,630400.00,"2026-03-01 12:17:00"
"Sal Refisal 1Kg","Basicos hogar",4,630400.00,"2026-03-01 12:17:00"
"Cafe Sello Rojo 250g","Basicos hogar",13,630400.00,"2026-03-01 12:17:00"
"Panela redonda 500g","Basicos hogar",7,630400.00,"2026-03-01 12:17:00"
"Huevos x30 unidades","Basicos hogar",20,630400.00,"2026-03-01 12:17:00"
"Arroz Diana 1Kg","Granos y cereales",16,1145500.00,"2026-02-28 13:05:00"
"Arroz Roa 5Kg","Granos y cereales",7,1145500.00,"2026-02-28 13:05:00"
"Lentejas 500g","Granos y cereales",16,1145500.00,"2026-02-28 13:05:00"
"Frijol rojo 500g","Granos y cereales",14,1145500.00,"2026-02-28 13:05:00"
"Avena Quaker 400g","Granos y cereales",3,1145500.00,"2026-02-28 13:05:00"
"Pasta Doria Espagueti 250g","Granos y cereales",9,1145500.00,"2026-02-28 13:05:00"
"Harina de Trigo 1Kg","Granos y cereales",3,1145500.00,"2026-02-28 13:05:00"
"Leche Alqueria Entera 1L","Lacteos",8,1145500.00,"2026-02-28 13:05:00"
"Leche Colanta Deslactosada 1L","Lacteos",16,1145500.00,"2026-02-28 13:05:00"
"Yogurt Alpina 1L","Lacteos",10,1145500.00,"2026-02-28 13:05:00"
"Mantequilla 250g","Lacteos",1,1145500.00,"2026-02-28 13:05:00"
"Coca-Cola 350ml","Bebidas",4,1145500.00,"2026-02-28 13:05:00"
"Gaseosa Postobon Manzana 350ml","Bebidas",9,1145500.00,"2026-02-28 13:05:00"
"Agua Cristal 600ml","Bebidas",16,1145500.00,"2026-02-28 13:05:00"
"Cerveza Poker 330ml","Bebidas",5,1145500.00,"2026-02-28 13:05:00"
"Detergente Fab 1Kg","Aseo",3,1145500.00,"2026-02-28 13:05:00"
"Cloro Blancox 500ml","Aseo",3,1145500.00,"2026-02-28 13:05:00"
"Atun Van Camps 160g","Enlatados",5,1145500.00,"2026-02-28 13:05:00"
"Sardina Isabel 170g","Enlatados",5,1145500.00,"2026-02-28 13:05:00"
"Frijoles enlatados Zenú 300g","Enlatados",7,1145500.00,"2026-02-28 13:05:00"
"Papas Margarita Natural 30g","Snacks",5,1145500.00,"2026-02-28 13:05:00"
"Galletas Festival Chocolate","Snacks",13,1145500.00,"2026-02-28 13:05:00"
"Chocoramo","Snacks",16,1145500.00,"2026-02-28 13:05:00"
"Aceite Girasol 1L","Basicos hogar",10,1145500.00,"2026-02-28 13:05:00"
"Azucar Manuelita 1Kg","Basicos hogar",14,1145500.00,"2026-02-28 13:05:00"
"Cafe Sello Rojo 250g","Basicos hogar",7,1145500.00,"2026-02-28 13:05:00"
"Panela redonda 500g","Basicos hogar",7,1145500.00,"2026-02-28 13:05:00"
"Huevos x30 unidades","Basicos hogar",8,1145500.00,"2026-02-28 13:05:00"
"Leche Colanta Deslactosada 1L","Lacteos",12,152600.00,"2026-02-27 23:28:00"
"Yogurt Alpina 1L","Lacteos",3,152600.00,"2026-02-27 23:28:00"
"Queso Campesino 500g","Lacteos",4,152600.00,"2026-02-27 23:28:00"
"Coca-Cola 350ml","Bebidas",8,152600.00,"2026-02-27 23:28:00"
"Gaseosa Postobon Manzana 350ml","Bebidas",9,152600.00,"2026-02-27 23:28:00"
"Jugo Hit Naranja 1L","Bebidas",1,152600.00,"2026-02-27 23:28:00"
"Arroz Diana 1Kg","Granos y cereales",6,171400.00,"2026-02-27 19:21:00"
"Arroz Roa 5Kg","Granos y cereales",3,171400.00,"2026-02-27 19:21:00"
"Lentejas 500g","Granos y cereales",11,171400.00,"2026-02-27 19:21:00"
"Pasta Doria Espagueti 250g","Granos y cereales",3,171400.00,"2026-02-27 19:21:00"
"Harina de Trigo 1Kg","Granos y cereales",3,171400.00,"2026-02-27 19:21:00"
"Leche Alqueria Entera 1L","Lacteos",6,171400.00,"2026-02-27 19:21:00"
"Cerveza Poker 330ml","Bebidas",12,88200.00,"2026-02-27 17:18:00"
"Atun Van Camps 160g","Enlatados",2,88200.00,"2026-02-27 17:18:00"
"Sardina Isabel 170g","Enlatados",1,88200.00,"2026-02-27 17:18:00"
"Papas Margarita Natural 30g","Snacks",12,88200.00,"2026-02-27 17:18:00"
"Galletas Festival Chocolate","Snacks",7,88200.00,"2026-02-27 17:18:00"
"Chiclets Adams x3","Snacks",2,88200.00,"2026-02-27 17:18:00"
"Chocoramo","Snacks",9,357800.00,"2026-02-27 12:26:00"
"Aceite Girasol 1L","Basicos hogar",6,357800.00,"2026-02-27 12:26:00"
"Azucar Manuelita 1Kg","Basicos hogar",6,357800.00,"2026-02-27 12:26:00"
"Cafe Sello Rojo 250g","Basicos hogar",11,357800.00,"2026-02-27 12:26:00"
"Panela redonda 500g","Basicos hogar",4,357800.00,"2026-02-27 12:26:00"
"Huevos x30 unidades","Basicos hogar",10,357800.00,"2026-02-27 12:26:00"
"Arroz Diana 1Kg","Granos y cereales",7,319800.00,"2026-02-26 23:23:00"
"Arroz Roa 5Kg","Granos y cereales",9,319800.00,"2026-02-26 23:23:00"
"Lentejas 500g","Granos y cereales",5,319800.00,"2026-02-26 23:23:00"
"Frijol rojo 500g","Granos y cereales",6,319800.00,"2026-02-26 23:23:00"
"Avena Quaker 400g","Granos y cereales",5,319800.00,"2026-02-26 23:23:00"
"Pasta Doria Espagueti 250g","Granos y cereales",12,319800.00,"2026-02-26 23:23:00"
"Harina de Trigo 1Kg","Granos y cereales",2,319800.00,"2026-02-26 23:23:00"
"Papel Higienico Familia x4","Aseo",1,63200.00,"2026-02-26 21:31:00"
"Sardina Isabel 170g","Enlatados",5,63200.00,"2026-02-26 21:31:00"
"Frijoles enlatados Zenú 300g","Enlatados",1,63200.00,"2026-02-26 21:31:00"
"Papas Margarita Natural 30g","Snacks",5,63200.00,"2026-02-26 21:31:00"
"Galletas Festival Chocolate","Snacks",8,63200.00,"2026-02-26 21:31:00"
"Chiclets Adams x3","Snacks",2,63200.00,"2026-02-26 21:31:00"
"Chocoramo","Snacks",5,63200.00,"2026-02-26 21:31:00"
"Aceite Girasol 1L","Basicos hogar",8,339800.00,"2026-02-26 15:01:00"
"Azucar Manuelita 1Kg","Basicos hogar",3,339800.00,"2026-02-26 15:01:00"
"Cafe Sello Rojo 250g","Basicos hogar",9,339800.00,"2026-02-26 15:01:00"
"Panela redonda 500g","Basicos hogar",2,339800.00,"2026-02-26 15:01:00"
"Huevos x30 unidades","Basicos hogar",11,339800.00,"2026-02-26 15:01:00"
"Leche Alqueria Entera 1L","Lacteos",7,163400.00,"2026-02-26 14:58:00"
"Leche Colanta Deslactosada 1L","Lacteos",4,163400.00,"2026-02-26 14:58:00"
"Yogurt Alpina 1L","Lacteos",9,163400.00,"2026-02-26 14:58:00"
"Queso Campesino 500g","Lacteos",3,163400.00,"2026-02-26 14:58:00"
"Gaseosa Postobon Manzana 350ml","Bebidas",3,163400.00,"2026-02-26 14:58:00"
"Agua Cristal 600ml","Bebidas",7,163400.00,"2026-02-26 14:58:00"
"Cerveza Poker 330ml","Bebidas",7,163400.00,"2026-02-26 14:58:00"
"Arroz Diana 1Kg","Granos y cereales",4,703400.00,"2026-02-25 20:41:00"
"Lentejas 500g","Granos y cereales",7,703400.00,"2026-02-25 20:41:00"
"Frijol rojo 500g","Granos y cereales",8,703400.00,"2026-02-25 20:41:00"
"Pasta Doria Espagueti 250g","Granos y cereales",5,703400.00,"2026-02-25 20:41:00"
"Harina de Trigo 1Kg","Granos y cereales",1,703400.00,"2026-02-25 20:41:00"
"Leche Alqueria Entera 1L","Lacteos",9,703400.00,"2026-02-25 20:41:00"
"Leche Colanta Deslactosada 1L","Lacteos",4,703400.00,"2026-02-25 20:41:00"
"Yogurt Alpina 1L","Lacteos",11,703400.00,"2026-02-25 20:41:00"
"Queso Campesino 500g","Lacteos",2,703400.00,"2026-02-25 20:41:00"
"Mantequilla 250g","Lacteos",5,703400.00,"2026-02-25 20:41:00"
"Gaseosa Postobon Manzana 350ml","Bebidas",11,703400.00,"2026-02-25 20:41:00"
"Cerveza Poker 330ml","Bebidas",10,703400.00,"2026-02-25 20:41:00"
"Detergente Fab 1Kg","Aseo",1,703400.00,"2026-02-25 20:41:00"
"Sardina Isabel 170g","Enlatados",4,703400.00,"2026-02-25 20:41:00"
"Frijoles enlatados Zenú 300g","Enlatados",4,703400.00,"2026-02-25 20:41:00"
"Salchicha Ranchera x5","Enlatados",1,703400.00,"2026-02-25 20:41:00"
"Papas Margarita Natural 30g","Snacks",6,703400.00,"2026-02-25 20:41:00"
"Galletas Festival Chocolate","Snacks",11,703400.00,"2026-02-25 20:41:00"
"Chocolate Jet 50g","Snacks",3,703400.00,"2026-02-25 20:41:00"
"Chocoramo","Snacks",4,703400.00,"2026-02-25 20:41:00"
"Aceite Girasol 1L","Basicos hogar",8,703400.00,"2026-02-25 20:41:00"
"Azucar Manuelita 1Kg","Basicos hogar",5,703400.00,"2026-02-25 20:41:00"
"Cafe Sello Rojo 250g","Basicos hogar",4,703400.00,"2026-02-25 20:41:00"
"Panela redonda 500g","Basicos hogar",2,703400.00,"2026-02-25 20:41:00"
"Huevos x30 unidades","Basicos hogar",11,703400.00,"2026-02-25 20:41:00"
"Cerveza Poker 330ml","Bebidas",4,388800.00,"2026-02-24 14:40:00"
"Cepillo de Dientes Colgate","Aseo",1,388800.00,"2026-02-24 14:40:00"
"Atun Van Camps 160g","Enlatados",4,388800.00,"2026-02-24 14:40:00"
"Sardina Isabel 170g","Enlatados",5,388800.00,"2026-02-24 14:40:00"
"Papas Margarita Natural 30g","Snacks",12,388800.00,"2026-02-24 14:40:00"
"Galletas Festival Chocolate","Snacks",3,388800.00,"2026-02-24 14:40:00"
"Chocolate Jet 50g","Snacks",1,388800.00,"2026-02-24 14:40:00"
"Chocoramo","Snacks",7,388800.00,"2026-02-24 14:40:00"
"Aceite Girasol 1L","Basicos hogar",7,388800.00,"2026-02-24 14:40:00"
"Azucar Manuelita 1Kg","Basicos hogar",7,388800.00,"2026-02-24 14:40:00"
"Sal Refisal 1Kg","Basicos hogar",2,388800.00,"2026-02-24 14:40:00"
"Cafe Sello Rojo 250g","Basicos hogar",5,388800.00,"2026-02-24 14:40:00"
"Huevos x30 unidades","Basicos hogar",9,388800.00,"2026-02-24 14:40:00"
"Arroz Diana 1Kg","Granos y cereales",9,347400.00,"2026-02-24 13:09:00"
"Arroz Roa 5Kg","Granos y cereales",3,347400.00,"2026-02-24 13:09:00"
"Lentejas 500g","Granos y cereales",5,347400.00,"2026-02-24 13:09:00"
"Frijol rojo 500g","Granos y cereales",5,347400.00,"2026-02-24 13:09:00"
"Avena Quaker 400g","Granos y cereales",1,347400.00,"2026-02-24 13:09:00"
"Pasta Doria Espagueti 250g","Granos y cereales",12,347400.00,"2026-02-24 13:09:00"
"Leche Alqueria Entera 1L","Lacteos",7,347400.00,"2026-02-24 13:09:00"
"Leche Colanta Deslactosada 1L","Lacteos",12,347400.00,"2026-02-24 13:09:00"
"Yogurt Alpina 1L","Lacteos",4,347400.00,"2026-02-24 13:09:00"
"Coca-Cola 350ml","Bebidas",11,347400.00,"2026-02-24 13:09:00"
"Gaseosa Postobon Manzana 350ml","Bebidas",5,347400.00,"2026-02-24 13:09:00"
"Jugo Hit Naranja 1L","Bebidas",4,347400.00,"2026-02-24 13:09:00"
"Agua Cristal 600ml","Bebidas",4,347400.00,"2026-02-24 13:09:00"
"Frijol rojo 500g","Granos y cereales",7,557200.00,"2026-02-23 20:34:00"
"Pasta Doria Espagueti 250g","Granos y cereales",10,557200.00,"2026-02-23 20:34:00"
"Leche Alqueria Entera 1L","Lacteos",3,557200.00,"2026-02-23 20:34:00"
"Leche Colanta Deslactosada 1L","Lacteos",10,557200.00,"2026-02-23 20:34:00"
"Yogurt Alpina 1L","Lacteos",6,557200.00,"2026-02-23 20:34:00"
"Queso Campesino 500g","Lacteos",3,557200.00,"2026-02-23 20:34:00"
"Coca-Cola 350ml","Bebidas",5,557200.00,"2026-02-23 20:34:00"
"Gaseosa Postobon Manzana 350ml","Bebidas",12,557200.00,"2026-02-23 20:34:00"
"Jugo Hit Naranja 1L","Bebidas",4,557200.00,"2026-02-23 20:34:00"
"Agua Cristal 600ml","Bebidas",9,557200.00,"2026-02-23 20:34:00"
"Cerveza Poker 330ml","Bebidas",3,557200.00,"2026-02-23 20:34:00"
"Aguardiante Antioqueno 375ml","Bebidas",2,557200.00,"2026-02-23 20:34:00"
"Papel Higienico Familia x4","Aseo",4,557200.00,"2026-02-23 20:34:00"
"Cepillo de Dientes Colgate","Aseo",2,557200.00,"2026-02-23 20:34:00"
"Frijoles enlatados Zenú 300g","Enlatados",1,557200.00,"2026-02-23 20:34:00"
"Salchicha Ranchera x5","Enlatados",1,557200.00,"2026-02-23 20:34:00"
"Papas Margarita Natural 30g","Snacks",6,557200.00,"2026-02-23 20:34:00"
"Galletas Festival Chocolate","Snacks",10,557200.00,"2026-02-23 20:34:00"
"Chiclets Adams x3","Snacks",2,557200.00,"2026-02-23 20:34:00"
"Chocoramo","Snacks",4,557200.00,"2026-02-23 20:34:00"
"Aceite Girasol 1L","Basicos hogar",4,557200.00,"2026-02-23 20:34:00"
"Cafe Sello Rojo 250g","Basicos hogar",8,557200.00,"2026-02-23 20:34:00"
"Panela redonda 500g","Basicos hogar",3,557200.00,"2026-02-23 20:34:00"
"Huevos x30 unidades","Basicos hogar",5,557200.00,"2026-02-23 20:34:00"
"Cloro Blancox 500ml","Aseo",3,106800.00,"2026-02-23 00:34:00"
"Atun Van Camps 160g","Enlatados",5,106800.00,"2026-02-23 00:34:00"
"Sardina Isabel 170g","Enlatados",3,106800.00,"2026-02-23 00:34:00"
"Salchicha Ranchera x5","Enlatados",4,106800.00,"2026-02-23 00:34:00"
"Papas Margarita Natural 30g","Snacks",9,106800.00,"2026-02-23 00:34:00"
"Galletas Festival Chocolate","Snacks",7,106800.00,"2026-02-23 00:34:00"
"Chocolate Jet 50g","Snacks",4,106800.00,"2026-02-23 00:34:00"
"Yogurt Alpina 1L","Lacteos",16,253500.00,"2026-02-22 16:48:00"
"Queso Campesino 500g","Lacteos",5,253500.00,"2026-02-22 16:48:00"
"Coca-Cola 350ml","Bebidas",10,253500.00,"2026-02-22 16:48:00"
"Gaseosa Postobon Manzana 350ml","Bebidas",13,253500.00,"2026-02-22 16:48:00"
"Jugo Hit Naranja 1L","Bebidas",5,253500.00,"2026-02-22 16:48:00"
"Agua Cristal 600ml","Bebidas",5,253500.00,"2026-02-22 16:48:00"
"Cerveza Poker 330ml","Bebidas",13,253500.00,"2026-02-22 16:48:00"
"Arroz Diana 1Kg","Granos y cereales",16,422000.00,"2026-02-22 16:30:00"
"Arroz Roa 5Kg","Granos y cereales",10,422000.00,"2026-02-22 16:30:00"
"Lentejas 500g","Granos y cereales",8,422000.00,"2026-02-22 16:30:00"
"Frijol rojo 500g","Granos y cereales",7,422000.00,"2026-02-22 16:30:00"
"Pasta Doria Espagueti 250g","Granos y cereales",7,422000.00,"2026-02-22 16:30:00"
"Leche Alqueria Entera 1L","Lacteos",10,422000.00,"2026-02-22 16:30:00"
"Leche Colanta Deslactosada 1L","Lacteos",7,422000.00,"2026-02-22 16:30:00"
"Chocoramo","Snacks",13,331700.00,"2026-02-22 16:03:00"
"Aceite Girasol 1L","Basicos hogar",10,331700.00,"2026-02-22 16:03:00"
"Azucar Manuelita 1Kg","Basicos hogar",8,331700.00,"2026-02-22 16:03:00"
"Cafe Sello Rojo 250g","Basicos hogar",5,331700.00,"2026-02-22 16:03:00"
"Panela redonda 500g","Basicos hogar",3,331700.00,"2026-02-22 16:03:00"
"Huevos x30 unidades","Basicos hogar",8,331700.00,"2026-02-22 16:03:00"
"Arroz Diana 1Kg","Granos y cereales",12,632300.00,"2026-02-21 17:52:00"
"Arroz Roa 5Kg","Granos y cereales",8,632300.00,"2026-02-21 17:52:00"
"Lentejas 500g","Granos y cereales",14,632300.00,"2026-02-21 17:52:00"
"Frijol rojo 500g","Granos y cereales",12,632300.00,"2026-02-21 17:52:00"
"Avena Quaker 400g","Granos y cereales",3,632300.00,"2026-02-21 17:52:00"
"Pasta Doria Espagueti 250g","Granos y cereales",12,632300.00,"2026-02-21 17:52:00"
"Leche Alqueria Entera 1L","Lacteos",13,632300.00,"2026-02-21 17:52:00"
"Leche Colanta Deslactosada 1L","Lacteos",13,632300.00,"2026-02-21 17:52:00"
"Yogurt Alpina 1L","Lacteos",12,632300.00,"2026-02-21 17:52:00"
"Coca-Cola 350ml","Bebidas",12,632300.00,"2026-02-21 17:52:00"
"Gaseosa Postobon Manzana 350ml","Bebidas",9,632300.00,"2026-02-21 17:52:00"
"Jugo Hit Naranja 1L","Bebidas",1,632300.00,"2026-02-21 17:52:00"
"Agua Cristal 600ml","Bebidas",12,632300.00,"2026-02-21 17:52:00"
"Cerveza Poker 330ml","Bebidas",4,632300.00,"2026-02-21 17:52:00"
"Atun Van Camps 160g","Enlatados",4,393000.00,"2026-02-21 16:36:00"
"Sardina Isabel 170g","Enlatados",4,393000.00,"2026-02-21 16:36:00"
"Frijoles enlatados Zenú 300g","Enlatados",4,393000.00,"2026-02-21 16:36:00"
"Papas Margarita Natural 30g","Snacks",10,393000.00,"2026-02-21 16:36:00"
"Galletas Festival Chocolate","Snacks",16,393000.00,"2026-02-21 16:36:00"
"Chocolate Jet 50g","Snacks",3,393000.00,"2026-02-21 16:36:00"
"Chocoramo","Snacks",14,393000.00,"2026-02-21 16:36:00"
"Aceite Girasol 1L","Basicos hogar",9,393000.00,"2026-02-21 16:36:00"
"Azucar Manuelita 1Kg","Basicos hogar",16,393000.00,"2026-02-21 16:36:00"
"Sal Refisal 1Kg","Basicos hogar",3,393000.00,"2026-02-21 16:36:00"
"Cafe Sello Rojo 250g","Basicos hogar",5,393000.00,"2026-02-21 16:36:00"
"Panela redonda 500g","Basicos hogar",1,393000.00,"2026-02-21 16:36:00"
"Huevos x30 unidades","Basicos hogar",4,393000.00,"2026-02-21 16:36:00"
"Jugo Hit Naranja 1L","Bebidas",4,349900.00,"2026-02-20 16:19:00"
"Agua Cristal 600ml","Bebidas",8,349900.00,"2026-02-20 16:19:00"
"Cerveza Poker 330ml","Bebidas",7,349900.00,"2026-02-20 16:19:00"
"Detergente Fab 1Kg","Aseo",1,349900.00,"2026-02-20 16:19:00"
"Papas Margarita Natural 30g","Snacks",7,349900.00,"2026-02-20 16:19:00"
"Galletas Festival Chocolate","Snacks",7,349900.00,"2026-02-20 16:19:00"
"Chocoramo","Snacks",8,349900.00,"2026-02-20 16:19:00"
"Aceite Girasol 1L","Basicos hogar",11,349900.00,"2026-02-20 16:19:00"
"Azucar Manuelita 1Kg","Basicos hogar",4,349900.00,"2026-02-20 16:19:00"
"Panela redonda 500g","Basicos hogar",1,349900.00,"2026-02-20 16:19:00"
"Huevos x30 unidades","Basicos hogar",8,349900.00,"2026-02-20 16:19:00"
"Arroz Diana 1Kg","Granos y cereales",8,527900.00,"2026-02-20 15:26:00"
"Arroz Roa 5Kg","Granos y cereales",12,527900.00,"2026-02-20 15:26:00"
"Frijol rojo 500g","Granos y cereales",9,527900.00,"2026-02-20 15:26:00"
"Avena Quaker 400g","Granos y cereales",1,527900.00,"2026-02-20 15:26:00"
"Pasta Doria Espagueti 250g","Granos y cereales",10,527900.00,"2026-02-20 15:26:00"
"Harina de Trigo 1Kg","Granos y cereales",1,527900.00,"2026-02-20 15:26:00"
"Leche Alqueria Entera 1L","Lacteos",10,527900.00,"2026-02-20 15:26:00"
"Leche Colanta Deslactosada 1L","Lacteos",4,527900.00,"2026-02-20 15:26:00"
"Yogurt Alpina 1L","Lacteos",8,527900.00,"2026-02-20 15:26:00"
"Queso Campesino 500g","Lacteos",5,527900.00,"2026-02-20 15:26:00"
"Coca-Cola 350ml","Bebidas",4,527900.00,"2026-02-20 15:26:00"
"Gaseosa Postobon Manzana 350ml","Bebidas",11,527900.00,"2026-02-20 15:26:00"
"Arroz Diana 1Kg","Granos y cereales",9,687400.00,"2026-02-19 18:16:00"
"Arroz Roa 5Kg","Granos y cereales",7,687400.00,"2026-02-19 18:16:00"
"Lentejas 500g","Granos y cereales",3,687400.00,"2026-02-19 18:16:00"
"Frijol rojo 500g","Granos y cereales",6,687400.00,"2026-02-19 18:16:00"
"Pasta Doria Espagueti 250g","Granos y cereales",11,687400.00,"2026-02-19 18:16:00"
"Leche Alqueria Entera 1L","Lacteos",8,687400.00,"2026-02-19 18:16:00"
"Leche Colanta Deslactosada 1L","Lacteos",5,687400.00,"2026-02-19 18:16:00"
"Yogurt Alpina 1L","Lacteos",8,687400.00,"2026-02-19 18:16:00"
"Queso Campesino 500g","Lacteos",5,687400.00,"2026-02-19 18:16:00"
"Mantequilla 250g","Lacteos",3,687400.00,"2026-02-19 18:16:00"
"Coca-Cola 350ml","Bebidas",6,687400.00,"2026-02-19 18:16:00"
"Gaseosa Postobon Manzana 350ml","Bebidas",5,687400.00,"2026-02-19 18:16:00"
"Agua Cristal 600ml","Bebidas",8,687400.00,"2026-02-19 18:16:00"
"Cerveza Poker 330ml","Bebidas",5,687400.00,"2026-02-19 18:16:00"
"Aguardiante Antioqueno 375ml","Bebidas",1,687400.00,"2026-02-19 18:16:00"
"Sardina Isabel 170g","Enlatados",1,687400.00,"2026-02-19 18:16:00"
"Papas Margarita Natural 30g","Snacks",11,687400.00,"2026-02-19 18:16:00"
"Galletas Festival Chocolate","Snacks",5,687400.00,"2026-02-19 18:16:00"
"Chocolate Jet 50g","Snacks",1,687400.00,"2026-02-19 18:16:00"
"Chocoramo","Snacks",12,687400.00,"2026-02-19 18:16:00"
"Aceite Girasol 1L","Basicos hogar",11,687400.00,"2026-02-19 18:16:00"
"Huevos x30 unidades","Basicos hogar",3,687400.00,"2026-02-19 18:16:00"
"Arroz Diana 1Kg","Granos y cereales",6,939900.00,"2026-02-18 23:38:00"
"Arroz Roa 5Kg","Granos y cereales",11,939900.00,"2026-02-18 23:38:00"
"Lentejas 500g","Granos y cereales",9,939900.00,"2026-02-18 23:38:00"
"Frijol rojo 500g","Granos y cereales",12,939900.00,"2026-02-18 23:38:00"
"Pasta Doria Espagueti 250g","Granos y cereales",5,939900.00,"2026-02-18 23:38:00"
"Leche Alqueria Entera 1L","Lacteos",6,939900.00,"2026-02-18 23:38:00"
"Leche Colanta Deslactosada 1L","Lacteos",6,939900.00,"2026-02-18 23:38:00"
"Yogurt Alpina 1L","Lacteos",5,939900.00,"2026-02-18 23:38:00"
"Queso Campesino 500g","Lacteos",2,939900.00,"2026-02-18 23:38:00"
"Coca-Cola 350ml","Bebidas",4,939900.00,"2026-02-18 23:38:00"
"Gaseosa Postobon Manzana 350ml","Bebidas",8,939900.00,"2026-02-18 23:38:00"
"Jugo Hit Naranja 1L","Bebidas",3,939900.00,"2026-02-18 23:38:00"
"Agua Cristal 600ml","Bebidas",4,939900.00,"2026-02-18 23:38:00"
"Cerveza Poker 330ml","Bebidas",5,939900.00,"2026-02-18 23:38:00"
"Papel Higienico Familia x4","Aseo",3,939900.00,"2026-02-18 23:38:00"
"Cloro Blancox 500ml","Aseo",1,939900.00,"2026-02-18 23:38:00"
"Frijoles enlatados Zenú 300g","Enlatados",1,939900.00,"2026-02-18 23:38:00"
"Salchicha Ranchera x5","Enlatados",5,939900.00,"2026-02-18 23:38:00"
"Papas Margarita Natural 30g","Snacks",9,939900.00,"2026-02-18 23:38:00"
"Galletas Festival Chocolate","Snacks",7,939900.00,"2026-02-18 23:38:00"
"Chocoramo","Snacks",5,939900.00,"2026-02-18 23:38:00"
"Aceite Girasol 1L","Basicos hogar",12,939900.00,"2026-02-18 23:38:00"
"Azucar Manuelita 1Kg","Basicos hogar",12,939900.00,"2026-02-18 23:38:00"
"Sal Refisal 1Kg","Basicos hogar",1,939900.00,"2026-02-18 23:38:00"
"Cafe Sello Rojo 250g","Basicos hogar",9,939900.00,"2026-02-18 23:38:00"
"Huevos x30 unidades","Basicos hogar",7,939900.00,"2026-02-18 23:38:00"
"Gaseosa Postobon Manzana 350ml","Bebidas",11,141600.00,"2026-02-17 23:25:00"
"Jugo Hit Naranja 1L","Bebidas",3,141600.00,"2026-02-17 23:25:00"
"Agua Cristal 600ml","Bebidas",5,141600.00,"2026-02-17 23:25:00"
"Cerveza Poker 330ml","Bebidas",12,141600.00,"2026-02-17 23:25:00"
"Papel Higienico Familia x4","Aseo",2,141600.00,"2026-02-17 23:25:00"
"Sardina Isabel 170g","Enlatados",2,141600.00,"2026-02-17 23:25:00"
"Salchicha Ranchera x5","Enlatados",4,141600.00,"2026-02-17 23:25:00"
"Papas Margarita Natural 30g","Snacks",6,141600.00,"2026-02-17 23:25:00"
"Galletas Festival Chocolate","Snacks",3,141600.00,"2026-02-17 23:25:00"
"Arroz Roa 5Kg","Granos y cereales",3,256100.00,"2026-02-17 16:26:00"
"Lentejas 500g","Granos y cereales",9,256100.00,"2026-02-17 16:26:00"
"Frijol rojo 500g","Granos y cereales",7,256100.00,"2026-02-17 16:26:00"
